index,has_he a,has_dat,status
0931,True,True,OK
0932,True,True,OK
0933,True,True,OK
0934,True,True,OK
0935,True,True,OK
0936,True,True,OK
0937,True,True,OK
0938,True,True,OK
0939,True,True,OK
0940,True,True,OK
0941,True,True,OK
0942,True,True,OK
0943,True,True,OK
0944,True,True,OK
0945,True,True,OK
0946,True,True,OK
0947,True,True,OK
0948,True,True,OK
0949,True,True,OK
0950,True,True,OK
0951,True,True,OK
0952,True,True,OK
0953,True,True,OK
0954,True,True,OK
0955,True,True,OK
0956,True,True,OK
0957,True,True,OK
0958,True,True,OK
0959,True,True,OK
0960,True,True,OK
0961,True,True,OK
0962,True,True,OK
0963,True,True,OK
0964,True,True,OK
0965,True,True,OK
0966,True,True,OK
0967,True,True,OK
0968,True,True,OK
0969,True,True,OK
0970,True,True,OK
0971,True,True,OK
0972,True,True,OK
0973,True,True,OK
0974,True,True,OK
0975,True,True,OK
0976,True,True,OK
0977,True,True,OK
0978,True,True,OK
0979,True,True,OK
0980,True,True,OK
0981,True,True,OK
0982,True,True,OK
0983,True,True,OK
0984,True,True,OK
0985,True,True,OK
0986,True,True,OK
0987,True,True,OK
0988,True,True,OK
0989,True,True,OK
0990,True,True,OK
0991,True,True,OK
0992,True,True,OK
0993,True,True,OK
0994,True,True,OK
0995,True,True,OK
0996,True,True,OK
0997,True,True,OK
0998,True,True,OK
0999,True,True,OK
1000,True,True,OK
1001,True,True,OK
1002,True,True,OK
1003,True,True,OK
1004,True,True,OK
1005,True,True,OK
1006,True,True,OK
1007,True,True,OK
1008,True,True,OK
1009,True,True,OK
1010,True,True,OK
1011,False,False,MISSING_BOTH
1012,True,True,OK
1013,True,True,OK
1014,True,True,OK
1015,True,True,OK
1016,True,True,OK
1017,True,True,OK
1018,True,True,OK
1019,True,True,OK
1020,True,True,OK
1021,True,True,OK
1022,True,True,OK
1023,True,True,OK
1024,True,True,OK
1025,True,True,OK
1026,True,True,OK
1027,True,True,OK
1028,True,True,OK
1029,True,True,OK
